#Enter lib upload/conversion:
#0:00:01.921781
#Enter library dictionary upload:
#0:00:45.987442
#enter spectra comparison:
#0:02:22.645369
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
100,17.551089875999992,141,500.0,782
200,28.073206047000014,158,600.0,1128
300,31.68698676699998,152,700.0,983
400,22.966761221000013,344,800.0,729
500,19.031367498999998,461,900.0,474
600,12.807254322999995,222,1000.0,347
700,20.228616594000016,1002,500.0,782
800,36.644085668,907,600.0,1128
900,35.10602448899999,1302,700.0,983
1000,25.98638597500002,686,800.0,729
1100,19.414709294999966,238,900.0,474
1200,11.16353312900003,119,1000.0,347
1300,19.143755758999987,1204,500.0,782
1400,41.600291201999994,1080,600.0,1128
1500,46.571139320999976,864,700.0,983
1600,25.560448588999975,636,800.0,729
1700,19.361308329000053,415,900.0,474
1800,11.669734368000036,90,1000.0,347
1900,19.857340916999988,1587,500.0,782
2000,35.32836700500002,1493,600.0,1128
2100,33.42511045999993,865,700.0,983
2200,23.734300034000057,770,800.0,729
2300,16.93732245000001,214,900.0,474
2400,10.72543693199998,37,1000.0,347
2500,20.16638096099996,963,500.0,782
2600,33.87733142800005,1328,600.0,1128
2700,30.53764099900002,489,700.0,983
2800,23.27037157099994,329,800.0,729
2900,15.961935112999981,59,900.0,474
3000,11.724115098000084,40,1000.0,347
3100,18.74696844099992,745,500.0,782
3200,43.29415709099999,762,600.0,1128
3300,33.21276363900006,178,700.0,983
3400,24.554174417000013,162,800.0,729
3500,16.229806673999974,57,900.0,474
3600,10.308876515999941,33,1000.0,347
3700,15.196842537000066,271,500.0,782
3800,26.622553154999878,284,600.0,1128
3900,30.88682975200004,243,700.0,983
4000,20.787772716000063,113,800.0,729
4100,15.255167023000013,51,900.0,474
4200,15.43879793699989,36,1000.0,347
4300,19.008843075000186,700,500.0,782
4400,30.754147742999976,1673,600.0,1128
4500,34.870928983999875,925,700.0,983
4600,24.67793113000016,142,800.0,729
4700,15.538500513999907,47,900.0,474
4800,10.694845193999981,41,1000.0,347
4900,19.48788124900011,1450,500.0,782
5000,38.822890462999794,1645,600.0,1128
5100,34.886684461000186,798,700.0,983
5200,25.17884003999984,275,800.0,729
5300,17.53317476799998,61,900.0,474
5400,11.47951120200014,45,1000.0,347
5500,21.219161071999906,1301,500.0,782
5600,35.57377376199997,927,600.0,1128
5700,31.294697438000185,706,700.0,983
5800,25.19217479599979,311,800.0,729
5900,15.571186072000046,67,900.0,474
6000,10.397786838999991,38,1000.0,347
6100,16.297089959000004,219,500.0,782
6200,26.077150146000122,72,600.0,1128
6300,28.375623543999836,60,700.0,983
6400,22.92341272900012,46,800.0,729
6500,18.1968246859999,50,900.0,474
6600,13.861030577000065,39,1000.0,347
6700,20.70461905000002,43,500.0,782
6800,30.8919200360001,42,600.0,1128
6900,27.122715359999802,44,700.0,983
7000,20.70048910300011,38,800.0,729
7100,15.010713299999907,38,900.0,474
7200,10.528974543000004,43,1000.0,347
#7200
#done:
#0:30:06.560336
