matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,885670,0.0,0,345159
5,0,484482,0.0,0,166704
6,0,252268,0.0,0,73298
7,0,129625,0.0,0,30252
8,397,67819,0.9953276531667278,3,11701
9,7889,37645,0.971628735924995,78,4240
10,10414,22529,0.9437923840106052,104,1490
11,11037,14320,0.8854192475130461,110,471
12,9022,9471,0.7890265514743021,90,137
13,6303,6303,0.5251227804503211,40,41
14,4210,4210,0.6159782313255848,5,6
15,2749,2749,0.6561138231966759,0,1
16,1693,1693,0.7084169587052879,0,1
17,936,936,0.7710561690014068,-1,0
18,463,463,0.7710561690014068,-1,0
19,165,165,0.8598358241538318,-1,0
20,28,28,0.9099627086397644,-1,0
