matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,141393,0.0,0,65874
5,0,51520,0.0,0,20939
6,0,20878,0.0,0,6996
7,0,9761,0.0,0,2504
8,0,5224,0.0,0,934
9,0,3157,0.0,0,334
10,0,2207,0.0,0,132
11,863,1578,0.960268966125584,8,51
12,1087,1173,0.830852974728207,10,17
13,905,905,0.44687925240737053,6,7
14,692,692,0.44687925240737053,3,4
15,527,527,0.44687925240737053,1,2
16,395,395,0.44687925240737053,0,1
17,284,284,0.6790265619324594,-1,0
18,218,218,0.6790265619324594,-1,0
19,158,158,0.7847023941776854,-1,0
20,108,108,0.8365035683613833,-1,0
21,67,67,0.9005289798729644,-1,0
22,37,37,0.9278847118399464,-1,0
23,28,28,0.9278847118399464,-1,0
24,21,21,0.9278847118399464,-1,0
25,10,10,0.9278847118399464,-1,0
26,6,6,0.9278847118399464,-1,0
27,2,2,0.9278847118399464,-1,0
