matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15126,0.0,0,7365
5,0,3732,0.0,0,1550
6,0,1179,0.0,0,350
7,0,524,0.0,0,81
8,0,319,0.0,0,12
9,232,232,0.8670272480340484,1,2
10,182,185,0.9128838200335472,1,2
11,134,134,0.8879131894635401,-1,0
12,100,100,0.9128838200335472,-1,0
13,72,72,0.9128838200335472,-1,0
14,46,46,0.9128838200335472,-1,0
15,28,28,0.9128838200335472,-1,0
16,18,18,0.9128838200335472,-1,0
17,9,9,0.97943011379344,-1,0
18,5,5,0.9899098333248628,-1,0
19,1,1,0.9910754603628884,-1,0
