matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,885670,0.0,0,345159
5,0,484482,0.0,0,166704
6,0,252268,0.0,0,73298
7,0,129625,0.0,0,30252
8,0,67819,0.0,0,11701
9,0,37645,0.0,0,4240
10,9028,22529,0.8873080362550173,90,1490
11,10375,14320,0.7217697415797251,103,471
12,8947,9471,0.45948128446682796,89,137
13,6303,6303,0.1046138976321368,40,41
14,4210,4210,0.1830430274566424,5,6
15,2749,2749,0.22737681085011585,0,1
16,1693,1693,0.23294698890610765,0,1
17,936,936,0.365451259685621,-1,0
18,463,463,0.365451259685621,-1,0
19,165,165,0.5910502007716731,-1,0
20,28,28,0.7544838439423078,-1,0
