matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,15721,0.0,0,7738
5,0,4946,0.0,0,2185
6,0,1807,0.0,0,659
7,0,837,0.0,0,218
8,0,485,0.0,0,81
9,0,325,0.0,0,26
10,155,246,0.9784974522745836,1,10
11,136,189,0.9745469166588296,1,6
12,147,147,0.6934354954888678,0,1
13,117,117,0.6934354954888678,0,1
14,89,89,0.7649320617584054,-1,0
15,65,65,0.8406487648360186,-1,0
16,52,52,0.8406487648360186,-1,0
17,36,36,0.8894668475732527,-1,0
18,28,28,0.9363268266171078,-1,0
19,20,20,0.9690317040094212,-1,0
20,12,12,0.9690317040094212,-1,0
21,8,8,0.9690317040094212,-1,0
22,6,6,0.9690317040094212,-1,0
24,4,4,0.9690317040094212,-1,0
25,1,1,0.9690317040094212,-1,0
