matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,16221,0.0,0,8060
5,0,5648,0.0,0,2545
6,0,2213,0.0,0,901
7,0,1013,0.0,0,353
8,0,554,0.0,0,142
9,0,337,0.0,0,57
10,126,250,0.9880272690208292,1,23
11,159,203,0.974329095613846,1,10
12,136,163,0.9696762126838614,1,8
13,135,135,0.8597278465295017,0,1
14,109,109,0.8597278465295017,-1,0
15,83,83,0.8597278465295017,-1,0
16,67,67,0.8597278465295017,-1,0
17,55,55,0.8597278465295017,-1,0
18,41,41,0.9397453720286171,-1,0
19,32,32,0.972054065744802,-1,0
20,25,25,0.9765195558170676,-1,0
21,16,16,0.9855993186526676,-1,0
22,13,13,0.9855993186526676,-1,0
23,9,9,0.989622544059235,-1,0
24,8,8,0.989622544059235,-1,0
25,3,3,0.989622544059235,-1,0
26,2,2,0.9916594353279724,-1,0
28,1,1,0.9916594353279724,-1,0
