matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,161742,0.0,0,77840
5,0,73868,0.0,0,32512
6,0,35056,0.0,0,13858
7,0,17839,0.0,0,6088
8,0,9544,0.0,0,2710
9,0,5464,0.0,0,1244
10,0,3395,0.0,0,542
11,0,2247,0.0,0,227
12,913,1608,0.9701895044416136,9,111
13,843,1220,0.9641809101563132,8,47
14,773,935,0.9522022279088151,7,21
15,672,723,0.9303239375119108,6,10
16,575,575,0.8072579978327244,3,4
17,436,436,0.8547645878764176,3,4
18,333,333,0.8633053176635382,0,1
19,246,246,0.8633053176635382,0,1
20,175,175,0.8633053176635382,-1,0
21,121,121,0.9045471841027852,-1,0
22,90,90,0.9045471841027852,-1,0
23,60,60,0.9593164893424986,-1,0
24,40,40,0.9620301685627666,-1,0
25,23,23,0.9620301685627666,-1,0
26,12,12,0.9779805413580211,-1,0
27,8,8,0.9779805413580211,-1,0
28,6,6,0.9779805413580211,-1,0
29,1,1,0.9910061875875376,-1,0
