matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1271197,0.0,0,530432
5,0,794736,0.0,0,305501
6,0,468035,0.0,0,162064
7,0,263977,0.0,0,79953
8,0,145378,0.0,0,37070
9,0,79783,0.0,0,16279
10,4636,44825,0.9960600700435874,46,6765
11,7817,26138,0.9942974522417432,78,2533
12,9037,16029,0.9936766198937224,90,906
13,8535,10221,0.99391951057218,85,287
14,6642,6789,0.9949079656445708,66,83
15,4494,4494,0.9961541365035268,18,19
16,2928,2928,0.9971457096620427,2,3
17,1820,1820,0.9979718979112672,0,1
18,960,960,0.9987063373941151,-1,0
19,378,378,0.9992880966603565,-1,0
20,110,110,0.9996878987785356,-1,0
