matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,141393,0.0,0,65874
5,0,51398,0.0,0,20876
6,0,20491,0.0,0,6820
7,0,9491,0.0,0,2385
8,0,5014,0.0,0,880
9,144,3029,0.994814212988662,1,307
10,960,2098,0.9801864749717482,9,116
11,1123,1483,0.9596055547323988,11,38
12,1075,1116,0.8944790329760715,10,14
13,855,855,0.8012159350290315,4,5
14,655,655,0.8012159350290315,0,1
15,497,497,0.8072579978327244,0,1
16,364,364,0.8072579978327244,0,1
17,266,266,0.8670602910505619,-1,0
18,202,202,0.8670602910505619,-1,0
19,149,149,0.9477735794363086,-1,0
20,102,102,0.9560538327456152,-1,0
21,68,68,0.9560538327456152,-1,0
22,35,35,0.9724403999241245,-1,0
23,22,22,0.9791952227003125,-1,0
24,12,12,0.9793332026409008,-1,0
25,7,7,0.9793332026409008,-1,0
26,4,4,0.9796149701242678,-1,0
27,2,2,0.9796149701242678,-1,0
