matches,FDRCutoff,total,cosine,FDRDecoys,totalDecoys
4,0,1271197,0.0,0,530432
5,0,794736,0.0,0,305501
6,0,468035,0.0,0,162064
7,0,263977,0.0,0,79953
8,0,145378,0.0,0,37070
9,4536,79783,0.9977247835425126,45,16279
10,7032,44825,0.9969833852263568,70,6765
11,9531,26138,0.996308182453906,95,2533
12,10045,16029,0.9961833111380548,100,906
13,8654,10221,0.9965434099390176,86,287
14,6652,6789,0.9970863193982386,66,83
15,4494,4494,0.997737061742796,18,19
16,2928,2928,0.9982821428184806,2,3
17,1820,1820,0.9987704650677368,0,1
18,960,960,0.999201835309002,-1,0
19,378,378,0.99955989482492,-1,0
20,110,110,0.999788838277472,-1,0
